name,food,score,link
三鲜火锅,家乐老母鸡浓汤宝、大葱、生姜、鲜虾、皮肚（炸猪皮）、香菇、木耳、大白菜、小青菜、鹌鹑蛋、油豆腐、桂冠燕饺、鱼豆腐、包心鱼丸,9.0,http://www.xiachufang.com/recipe/104112729/
清肝热祛湿汤,薏米、陈皮、芡实、鸡骨草、排骨、猪横脷、姜、赤小豆,4,http://www.xiachufang.com/recipe/104107196/
牛奶南瓜羹,南瓜肉、牛奶,8.6,http://www.xiachufang.com/recipe/104085743/
手工肉丸炖素三宝（丝瓜、白萝卜、山药）,肉糜、山药、丝瓜、白萝卜、生姜、大蒜头、大蒜叶,9.2,http://www.xiachufang.com/recipe/104086274/
两人食午餐,荤、素、汤,20,http://www.xiachufang.com/recipe/104168295/
自制快手低卡美味😋三鲜汤,姜、盐、食用油、鸡蛋、料酒、葱、香菇、虾、胡萝卜、金针菇、火腿肠,2,http://www.xiachufang.com/recipe/104430553/
快手汤｜大白菜鸡蛋粉丝汤,大白菜、鸡蛋、咸鸭蛋黄、粉丝、午餐肉、独头蒜、盐、冻干速食汤,8.1,http://www.xiachufang.com/recipe/104130593/
三文鱼田园豆浆炖杂蔬【健康一锅端】,三文鱼、胡萝卜、洋葱、青豆、玉米豆、口蘑、西兰花、奶酪、盐、现磨黑胡椒、现磨豆浆、木鱼花（没有可以不加）,9.2,http://www.xiachufang.com/recipe/103918425/
丝瓜海鲜菇鸡蛋汤,鸡蛋、丝瓜、海鲜菇或者白玉菇、姜葱、盐,7.4,http://www.xiachufang.com/recipe/104106214/
海带排骨汤,烘干海带结、姜、料酒、鱼露,0,http://www.xiachufang.com/recipe/104595795/
小吊梨汤,梨、话梅、水、枸杞、冰糖,8.4,http://www.xiachufang.com/recipe/104098741/
番茄炖蘑菇鸡腿肉【北鼎食谱】,鸡腿、洋葱、蒜、蟹味菇、番茄、番茄罐头、马苏里拉芝士、浓汤宝、海盐黑胡椒碎,9.2,http://www.xiachufang.com/recipe/103901329/
让宝宝一口就爱上的虾滑紫菜疙瘩汤,鲜虾、紫菜、鸡蛋、料酒、白胡椒粉、淀粉,8.2,http://www.xiachufang.com/recipe/103856753/
巨开胃巨好喝，10分钟搞定番茄酸辣汤冬季必喝。,番茄、香肠、鸡蛋、香菇、木耳、金针菇、嫩豆腐、葱和香菜,8.0,http://www.xiachufang.com/recipe/104189653/
小时候的生煎包,面粉、水、盐、酵母粉、无铝泡打粉、肉馅儿、葱花、芝麻,8.3,http://www.xiachufang.com/recipe/103799728/
山药菌菇鸡汤,鸡肉、山药、是个菌菇就行、盐、姜,7.9,http://www.xiachufang.com/recipe/103991011/
番茄鱼丸汤,番茄、鱼丸、土豆、胡萝卜、青椒、香菇、玉米粒、大葱、小葱、蒜瓣、番茄酱、生抽、白糖、盐,8.6,http://www.xiachufang.com/recipe/104128127/
大骨藕汤（筒子骨）全家都吃喝,莲藕、大骨（筒子骨）、花生米、老姜、料酒、盐,8.4,http://www.xiachufang.com/recipe/104053456/
上汤娃娃菜,娃娃菜、火腿、皮蛋、咸鸭蛋、金针菇、油、虾米,2,http://www.xiachufang.com/recipe/104548663/
懒人羊肉萝卜汤·Staub铸铁锅版,白萝卜、大葱、料酒、带骨羊肉、姜片、鸡精或盐、八角,0,http://www.xiachufang.com/recipe/104588877/
鲜浓鲤鱼汤,鲤鱼、葱、姜、料酒、盐,8.8,http://www.xiachufang.com/recipe/104162358/
山药羊肉汤│多力浓香花生油x金牌家宴,铁棍山药、羊肉、胡萝卜、大葱、玉米、枸杞、料酒、盐、多力浓香花生油,9.1,http://www.xiachufang.com/recipe/104181656/
味增汤「低脂&减肥」,北豆腐（南北豆腐都可以）、裙带菜（海带也可以）、味曾、海米、葱姜,5,http://www.xiachufang.com/recipe/103794853/
儿童开胃增高汤——罗宋汤,土豆、西红柿、洋葱、盐、瘦肉（牛肉）、玉米、胡萝卜、橄榄油,3,http://www.xiachufang.com/recipe/104493597/
补气血和补骨胶原@药膳鸡脚汤,党参、红枣、枸杞、当归、桂圆、鸡爪,8.0,http://www.xiachufang.com/recipe/104049628/
泡发过几百斤花胶的海味店掌柜分享花胶泡发技巧😘（30-35头）,花胶、姜、料酒（可以不要）,8.8,http://www.xiachufang.com/recipe/104152768/
清乐汤,猪骨头（带肉的筒子骨或排骨，）、鸭蛋、香菇、黑云儿（木耳）、腐竹（或油豆腐）、葱花、盐、味精、胡椒粉、红薯粉（或玉米淀粉）、香油（芝麻油）、胡萝卜、猪舌、小肠、荸荠,8.2,http://www.xiachufang.com/recipe/102783820/
番茄排骨汤,中排、番茄、番茄酱、小土豆、玉米、胡萝卜、小葱、大葱、姜、独蒜、八角、花椒、白胡椒粉、料酒、黄酒,8.5,http://www.xiachufang.com/recipe/104089640/
快手～鲜虾豆腐,盒装豆腐、鲜虾、蒜末、香菜末、盐、鸡粉、白糖、白胡椒粉,7.7,http://www.xiachufang.com/recipe/103933064/
鲜美养颜的快手菜-冬瓜汤,冬瓜、葱、虾皮、花椒、生抽、盐,0,http://www.xiachufang.com/recipe/104578136/
冬瓜火腿汤鲜得掉眉毛！,冬瓜、火腿肉、香菇、大葱、小葱、白胡椒粉、盐,7.7,http://www.xiachufang.com/recipe/103933649/
祛湿汤,赤小豆、陈皮、茯苓、薏米（炒）、白扁豆（炒）、金丝蜜枣、葛根、瘦肉,2,http://www.xiachufang.com/recipe/104201906/
番茄土豆牛尾汤,牛尾、西红柿、土豆、姜、葱、料酒、花椒、八角、盐、生抽、油,8.6,http://www.xiachufang.com/recipe/104194213/
瘦身汤,青菜、豆腐泡、香菇,0,http://www.xiachufang.com/recipe/104505069/
超级好喝的暖胃疙瘩汤,面粉、鸡蛋、西红柿、胡萝卜、黄瓜、香菜、油菜、葱花、盐、生抽、白胡椒粉,8.3,http://www.xiachufang.com/recipe/104108605/
圣诞奶油浓汤面包碗,好侍西趣奶炖小方、洋葱、胡萝卜、土豆、去皮鸡腿肉、西兰花、水、法式田园面包、橄榄油或黄油、荷兰芹,9.0,http://www.xiachufang.com/recipe/104116680/
超简单营养又美味的猪肚汤（含清洗猪肚方法）,猪肚、姜、盐、酱油、干辣椒、白胡椒、面粉,10,http://www.xiachufang.com/recipe/104067486/
正宗广式经典月子餐——猪脚姜,猪蹄、鸡蛋、姜、甜醋,8.3,http://www.xiachufang.com/recipe/104080937/
祛湿名方～四神汤,茯苓、淮山、炒芡实（或薏仁）、莲子、猪脊骨、盐、小葱,2,http://www.xiachufang.com/recipe/104062817/
超鲜快手海带苗豆腐汤-太太乐鲜鸡汁快手菜,海带苗、豆腐、葱花、海米、太太乐鲜鸡汁、第三次淘米水,1,http://www.xiachufang.com/recipe/104594627/
养生萝卜汤,绿萝卜、葱、姜、香菜、花生米、白胡椒粉、面和淀粉、鸡蛋、盐,13,http://www.xiachufang.com/recipe/104120082/
健脾养胃有助消化促进伤口愈合的超营养鲜美鲈鱼汤,鲈鱼、芦笋、干木耳、豆腐、料酒,7.8,http://www.xiachufang.com/recipe/103960664/
豆腐羹,内脂豆腐、鸡蛋、香葱或香菜、火腿、瘦肉、生粉,8.1,http://www.xiachufang.com/recipe/102261568/
掉秤最快的营养汤,大蒜、荷兰豆、豆腐、西红柿、鸡蛋、杏鲍菇、黑胡椒、海盐、花椒粉、李锦记秘制红烧汁、橄榄油,13,http://www.xiachufang.com/recipe/103980322/
超简单版罗宋汤,土豆、西红柿、洋葱、牛肉、卷心菜、芹菜、彩椒、黄油、番茄沙司,8.5,http://www.xiachufang.com/recipe/104209560/
暖心又暖胃❗️萝卜粉丝丸子汤❗️冬天就爱喝这汤,肉末、青萝卜、粉丝、姜、小葱,8.1,http://www.xiachufang.com/recipe/104216385/
水果紫米银耳汤,银耳、滨特尔纯水、冰糖、紫米、滨特尔纯水、白砂糖、菠萝、蔓越莓,8.7,http://www.xiachufang.com/recipe/103913655/
㊙️连汤都想喝掉的‼️酸汤牛肉馅饺子‼️酸辣开胃,牛肉、饺子皮、葱姜水、姜末大葱末、十三香、生抽、蚝油、盐、鸡蛋、香油、料酒、花椒粉、葱花、鸡精、辣椒油、白胡椒粉、白芝蔴、香油、生抽、香醋、白糖、虾皮、紫菜、香菜、盐（根据个人口味）,8.6,http://www.xiachufang.com/recipe/104094152/
汤浓味美的黄骨鱼豆腐汤,黄骨鱼中等个头、南豆腐（嫩豆腐）、盐、料酒、生姜、大蒜,0,http://www.xiachufang.com/recipe/104595441/
无敌好喝的酸辣汤,嫩豆腐、木耳、鸡蛋、火腿肠、水淀粉、香油、陈醋、白胡椒粉、生抽、盐、西红柿、蒜瓣,0,http://www.xiachufang.com/recipe/104562574/
㊙️营养滋补‼️山药排骨汤‼️补肺固肾,铁棍山药、排骨、姜、葱、料酒、清水、枸杞、盐,8.8,http://www.xiachufang.com/recipe/104164806/
【白菜肉丝年糕汤】,大白菜、香菇、年糕、猪肉丝、盐、生抽、料酒、姜丝、葱花、淀粉、白胡椒粉、植物油、盐、酱油,8.3,http://www.xiachufang.com/recipe/104118229/
三鲜汤（很鲜很好做）,肉末、生抽、老豆腐、虾、香菇、海鲜菇、葱、生粉、盐、蚝油,5,http://www.xiachufang.com/recipe/104094999/
三分钟搞定的虾皮紫菜蛋花汤,鸡蛋、紫菜、虾皮、葱、香油、盐,7.8,http://www.xiachufang.com/recipe/104173981/
排骨冬瓜汤,冬瓜、排骨、葱、八角、姜、料酒、玉米油、白糖、鸡精、盐、水,7.7,http://www.xiachufang.com/recipe/103933204/
鲜美到哭的丝瓜蛋汤,丝瓜、鸡蛋、香油、盐、菌菇,8.0,http://www.xiachufang.com/recipe/104052989/
鲜菇豆腐汤,嫩豆腐、西红柿、鸡蛋、海鲜菇、金针菇、食盐、蚝油、生抽、生粉,7,http://www.xiachufang.com/recipe/104058661/
菌菇虾仁三鲜汤,蟹味菇、白玉菇、鸡蛋、油菜、虾仁、姜、油、料酒、白胡椒粉,13,http://www.xiachufang.com/recipe/104170515/
凉拌皮蛋黄瓜,皮蛋、黄瓜、小米辣、大蒜、香菜,0,http://www.xiachufang.com/recipe/104597016/
早餐小馄饨（神仙汤）,小馄饨皮、猪瘦肉、猪肥肉、生姜、生抽、鸡精、榨菜、鸡蛋,8.2,http://www.xiachufang.com/recipe/104073024/
牛奶鸡蛋醪糟冬日里最爱的甜品汤,全脂牛奶、鸡蛋、小苏打、奶粉（可选）、醪糟、黑芝麻、坚果、果脯,8.2,http://www.xiachufang.com/recipe/104185237/
广东老火靓汤集锦,猪尾巴、玉米、胡萝卜、盐、葱花,2,http://www.xiachufang.com/recipe/104057030/
除了助孕，痛经、经量少、气血不足都可以吃,黑豆、酒酿、鸡蛋、红糖,6,http://www.xiachufang.com/recipe/104173090/
一碗顶100张面膜（银耳）,银耳、冰糖、百合、莲子、枸杞、桂花,6,http://www.xiachufang.com/recipe/104390483/
6款美容养颜汤,详细材料,0,http://www.xiachufang.com/recipe/104346782/
牛尾汤(不仅汤好喝，牛尾更有滋味),牛尾、香葱、蒜、姜、盐、牛奶、生抽、香油、大枣、枸杞、料酒、黑胡椒,8.3,http://www.xiachufang.com/recipe/104045646/
不用上汤的上汤芦笋（简约版）,芦笋、皮蛋、蒜瓣、盐、鸡精,8.5,http://www.xiachufang.com/recipe/104358267/
简单好喝的韩式海带汤,裙带菜（海木耳）、大蒜、盐、香油、料酒、味极鲜生抽、鸡胸肉,7.9,http://www.xiachufang.com/recipe/103964918/
古法小甜汤—无花果雪梨汤,无花果、蜜枣、雪梨、桂圆、杏仁、陈皮,0,http://www.xiachufang.com/recipe/104592037/
上汤娃娃菜✨开胃又下饭😋💕,娃娃菜、咸鸭蛋、火腿肠、西兰花、鲜豆腐（嫩豆腐）,9,http://www.xiachufang.com/recipe/104482242/
茶树菇土鸡汤,茶树菇、土鸡、红枣、葱、姜、枸杞、盐、花椒,13,http://www.xiachufang.com/recipe/103879846/
冬瓜蛤蜊汤（潮汕）,冬瓜、花蛤、潮汕菜脯、葱/芹菜粒、盐、胡椒粉、虾米（可不加）,2,http://www.xiachufang.com/recipe/104498038/
这份广东靓汤帮你清热解毒，消食除胀，甘蔗马蹄茅根骨头汤,马蹄、甘蔗、茅根、粉葛、玉米、胡萝卜、筒骨、姜片、盐,8,http://www.xiachufang.com/recipe/103864178/
宝宝健脾消食-苹果山楂汤,苹果、红枣、山楂干/鲜山楂、冰糖,8.4,http://www.xiachufang.com/recipe/104058439/
香菇玉米素蔬养生汤没难度,玉米、香菇、胡萝卜、南瓜、藕、姜片、葱花、盐、味极鲜、蚝油,7.7,http://www.xiachufang.com/recipe/104127902/
快手菜之上汤菠菜,松花蛋（也叫皮蛋）、咸鸭蛋、蒜、菠菜、浓汤宝、姜、葱,0,http://www.xiachufang.com/recipe/104485979/
汤浓肉嫩的番茄牛腩，牛腩软烂秘法,牛腩、西红柿、土豆、糖、生抽、番茄酱、姜、蒜、十三香、盐根据个人口味酌情加入，本菜谱有小朋友食用，所以没再额外添加其他佐料,8.0,http://www.xiachufang.com/recipe/103931067/
山药红薯糯米糊,去皮山药、去皮红薯、糯米、水,0,http://www.xiachufang.com/recipe/104589294/
连喝三碗都不过瘾的(筒子骨汤）,筒子骨、玉米、香菇、海鲜菇、胡萝卜、红枣、盐，味精、香葱、姜片、料酒,15,http://www.xiachufang.com/recipe/104136209/
煲一款汤好喝材料也好吃的汤花生莲藕汤,藕、上肉、花生、盐,8.1,http://www.xiachufang.com/recipe/104111275/
养胃胡椒猪肚汤,猪肚、白胡椒粒、盐、姜片、枸杞、花椒,17,http://www.xiachufang.com/recipe/103973800/
白菜粉丝汤,白菜、粉丝、鸡蛋、豆腐、盐、鸡精、香油、食用油、香菜、虾皮,2,http://www.xiachufang.com/recipe/104545881/
这豆腐汤太鲜美了,豆腐、干贝、干虾仁、葱花、蚝油、生抽、大蒜、胡萝卜,7.7,http://www.xiachufang.com/recipe/104166551/
酸汤肥牛,海南黄灯笼辣椒酱、肥牛片、金针菇、青尖椒、红尖椒、蒜、姜片、白醋、料酒、盐、糖、高汤,7.8,http://www.xiachufang.com/recipe/1076897/
奶白鲫鱼豆腐汤|一条鱼最后的温柔,鲫鱼、豆腐、香葱、姜、盐,8.1,http://www.xiachufang.com/recipe/104105293/
西湖牛肉羹,牛肉、蛋白、豆腐、香菇、香菜、淀粉、香油、姜,2,http://www.xiachufang.com/recipe/104395773/
比奶茶还好喝100倍❗️喝两碗不够💥赤小豆薏仁米粥,薏仁米、赤小豆、黑豆、燕麦片、牛奶、冰糖,4,http://www.xiachufang.com/recipe/104479760/
酸辣汤,豆腐、金针菇、泡发木耳、香菇、胡萝卜、肉丝、葱、姜丝、香菜、香醋、生抽、白胡椒、盐、味精（可不放）、香油、淀粉、鸡蛋液,0,http://www.xiachufang.com/recipe/104598588/
黄瓜鸡蛋汤,黄瓜、鸡蛋、水、盐、香油,7.7,http://www.xiachufang.com/recipe/104290313/
南瓜栗子鸡汤丨健康·三餐,南瓜、橄榄油、海盐、黑胡椒粉、黄洋葱、蒜、酱油、快熟燕麦片、熟栗子仁或冻栗子、熟鸡胸肉、鸡汤、清水、香油,9.4,http://www.xiachufang.com/recipe/103435330/
教你做不一样的～番茄鸡蛋汤,番茄、鸡蛋、盐、淀粉、香油、鸡精（或味精）、加入开水800至1000毫升,3,http://www.xiachufang.com/recipe/104576934/
广东靓汤—护肝养肾汤,枸杞、土鸡、薏米、芡实、干淮山、党参、腰果、干花菇,0,http://www.xiachufang.com/recipe/104529620/
牛肉汤(超简单),牛肉、葱、生姜、豆皮、粉丝、盐、蒜苗,13,http://www.xiachufang.com/recipe/104065053/
香甜玉米羹,玉米、鸡蛋、玉米淀粉、水、肉沫,0,http://www.xiachufang.com/recipe/104525825/
排骨莲藕汤,排骨、莲藕、生姜,8.1,http://www.xiachufang.com/recipe/174801/
养颜豆乳美龄粥,伊利植选豆乳315ml、水、大米、即食燕麦、铁棍山药、百合干（可省略）、冰糖（可省略）、干枸杞（可省略）、干玫瑰花（可省略）,8.3,http://www.xiachufang.com/recipe/104310410/
晚饭吃什么最家常最简单最好吃集合,随意,19,http://www.xiachufang.com/recipe/104074424/
超简单虾滑,虾仁、淀粉、鸡蛋,0,http://www.xiachufang.com/recipe/104596155/
西红柿鸡蛋疙瘩汤,西红柿、鸡蛋、面粉、葱末、香菜末、蕃茄酱、糖、盐、香油,8.1,http://www.xiachufang.com/recipe/100368718/
女人调理养生神汤,红枣、姜、桂圆、红糖、枸杞、鸡蛋,7,http://www.xiachufang.com/recipe/104190301/
不建议大家尝试，这碗味道超鲜的冬瓜虾皮汤我要自己独享！,冬瓜、虾皮、姜、盐、小葱,7.6,http://www.xiachufang.com/recipe/104007952/
春天到！千万不要错过宝宝猛长期哦～学会这道罗宋汤轻松长高,牛腩、黄油、土豆、胡萝卜、芹菜、洋葱、圆白菜、西红柿、大蒜、香叶、黑胡椒粉、番茄酱、盐、牛奶、清水,6,http://www.xiachufang.com/recipe/104496864/
一碗不够的老北京疙瘩汤（详细视频教程）,西红柿、鸡蛋、面粉、盐、香菜（没有可不加）、葱花,8.2,http://www.xiachufang.com/recipe/104044572/
宝宝爱吃的玉米土豆排骨汤（电饭锅版，不需要煎炒排骨）,排骨、玉米、葱、盐、姜片、土豆、醋、料酒、鸡精、蒜,8.4,http://www.xiachufang.com/recipe/103841638/
三鲜海带汤（香菇、玉米、海带）,海带、香菇、玉米（甜玉米）、姜、盐、油,8,http://www.xiachufang.com/recipe/104468997/
家常罗宋汤,牛肉、花雕酒、菜油、洋葱、大蒜、番茄沙司、西红柿、胡萝卜、西芹、卷心菜/包菜、土豆、盐,1,http://www.xiachufang.com/recipe/104592413/
可爱的小黄鸭汤圆,糯米粉、木薯粉、热水、黄油、糖粉、南瓜粉、黑可可粉、橙色色素、抹茶粉、馅料,1,http://www.xiachufang.com/recipe/104589051/
平菇鸡蛋汤,鸡蛋、平菇、豆皮、嫩豆腐、盐、胡椒粉、鸡精、香油、陈醋,5,http://www.xiachufang.com/recipe/104349447/
汤鲜味美的羊肚菌煲汤,羊肚菌、排骨或者筒骨、生姜、盐、料酒,16,http://www.xiachufang.com/recipe/104000993/
鲫鱼豆腐汤,鲫鱼、豆腐、香葱、姜、油、盐,8.2,http://www.xiachufang.com/recipe/37750/
最简单的潮灿牛肉丸子汤,牛肉、盐、冰块、鸡蛋、葱、姜,8.1,http://www.xiachufang.com/recipe/104163117/
上海老式红肠罗宋汤,土豆、牛心菜、洋葱、梅林牌番茄沙司、西红柿、胡萝卜、盐、冰糖、三林大红肠,8.2,http://www.xiachufang.com/recipe/103897621/
省中医脾胃专家推荐‼️熬夜族汤水‼️莲子百合鲍鱼汤‼️滋阴清热安神除燥,新鲜带壳鲍鱼、腱子肉、莲子、百合干、姜,2,http://www.xiachufang.com/recipe/104485199/
五红汤（产后、经期调理、月子汤）,红豆、红枣、红糖、枸杞、花生、水,3,http://www.xiachufang.com/recipe/104038008/
大白菜烧自制口感Q弹肉丸子,白菜、肉沫、盐、葱、胡椒粉、生姜、大蒜、鸡蛋、老抽、食用油、蚝油,8.2,http://www.xiachufang.com/recipe/104197101/
猪脊骨炖海带汤,猪脊骨、海带、大葱、老姜、白酒、盐、鸡精,2,http://www.xiachufang.com/recipe/104588793/
玉米鲜嫩蛋花汤,鸡蛋、清水、玉米淀粉、玉米、葱、盐、香油,18,http://www.xiachufang.com/recipe/103926780/
冬瓜丸子汤✨应对各种挑食😄营养又美味,冬瓜、猪肉馅、鸡蛋清、葱末、姜末、生抽、蚝油、五香粉、盐、海米虾皮、料酒、淀粉、香油,0,http://www.xiachufang.com/recipe/104586922/
西湖牛肉羹,香菇、火腿肠、牛肉、鸡蛋、香菜、淀粉、白胡椒、香油,11,http://www.xiachufang.com/recipe/103964764/
酱香牛排骨（肉烂骨香汤浓味美）,牛排骨、葱、姜、蒜、黄豆酱、甜面酱、冰糖、花椒、小茴香、香叶、桂皮、味极鲜酱油、盐,8.5,http://www.xiachufang.com/recipe/103967792/
快手早餐-酱汤面，汤都喝光,面条、小葱/香菜、油、生抽、陈醋、鸡精/味精,7.5,http://www.xiachufang.com/recipe/103926855/
神仙瘦瘦养生汤,干香菇、玉米🌽、胡萝卜🥕、西蓝花🥦、藕、黑木耳、枸杞、葱,0,http://www.xiachufang.com/recipe/104548438/
泰式海鲜冬阴功汤,柠檬、基围虾、姜、小米辣、椰浆、圣女果、金针菇、香茅、薄荷、蒜,0,http://www.xiachufang.com/recipe/104579646/
陈情令师姐的莲藕排骨汤（极简做法）,排骨、藕、姜、葱、盐、鸡精,8.1,http://www.xiachufang.com/recipe/104027359/
网红美食在家做｜金汤花胶鸡,土鸡、花胶、干贝、生姜、红枣、南瓜、枸杞、盐,7.8,http://www.xiachufang.com/recipe/104137150/
丝瓜白玉菇鸡蛋汤，养生吃法,白玉菇、丝瓜、鸡蛋、花椒粉、盐,0,http://www.xiachufang.com/recipe/104589178/
低卡高蛋白番茄金针菇豆腐汤，好喝不发胖,豆腐、西红柿、金针菇、鸡蛋、葱、姜、盐、香油、凉开水、食用油,8.2,http://www.xiachufang.com/recipe/104148062/
【番茄酸汤虾滑】,青虾仁、蛋清、料酒、盐、白胡椒粉、番茄、蒜末、生抽、金针菇、芒果、香蕉、牛奶、椰蓉,7.8,http://www.xiachufang.com/recipe/103853272/
给孩子补钙好喝的冬瓜汤,冬瓜、海带、虾皮、盐、香油、水,4,http://www.xiachufang.com/recipe/103966065/
苹果甜汤（苹果糖水）,苹果、红枣、枸杞、冰糖（可无）、清水,8.0,http://www.xiachufang.com/recipe/104237608/
减肥食谱【水晶豆腐羹】手残党也会,豆腐、鸡蛋、鲜香菇、白玉菇、西红柿、生抽、玉米淀粉、盐、葱、鸡精,7.8,http://www.xiachufang.com/recipe/104113165/
枸杞猪肝汤,猪肝、枸杞叶、枸杞子、淀粉、姜、料酒、盐、植物油、生抽,1,http://www.xiachufang.com/recipe/104543283/
原味椰子鸡汤,椰子水、鸡、盐、姜,0,http://www.xiachufang.com/recipe/104564707/
老北京小吊梨汤,雪花梨、清水、话梅、冰糖、枸杞、银耳,8.4,http://www.xiachufang.com/recipe/100385245/
NO.6【小儿羊肚菌汤】,羊肚菌、太子参、石斛、芡实、莲子、鸡腿,0,http://www.xiachufang.com/recipe/104590286/
家庭自制豆腐脑(含卤汤做法),【豆腐脑】、黄豆、清水、【汤卤料】、干香菇、干木耳、黄花菜、葱姜、老抽、耗油、盐、水淀粉、香菜、韭菜花,8.4,http://www.xiachufang.com/recipe/104393779/
冬瓜汤,冬瓜、豆腐、紫菜、香菜、大料、姜丝、自制高汤粉,0,http://www.xiachufang.com/recipe/104583507/
番茄土豆玉米排骨汤,小排、番茄、玉米、土豆、盐、糖,8.3,http://www.xiachufang.com/recipe/1083044/
清甜椰子鸡超简单宝宝超爱,椰青（如果有椰皇放一个更好、鸡肉、红枣、枸杞、生抽、生姜片,2,http://www.xiachufang.com/recipe/104067607/
简单到只用一种调料的牛腩炖萝卜汤,牛腩、白萝卜、大葱白、姜、蚝油(超市里挑最贵的买)、香葱或香菜末,8.3,http://www.xiachufang.com/recipe/104191241/
疙瘩汤的疙瘩是这样做成的(视频版),面粉、水,9.0,http://www.xiachufang.com/recipe/102804127/
熬夜清热气汤,瘦肉、石斛干、花旗参、枸杞、果皮,0,http://www.xiachufang.com/recipe/104565064/
韩国海带汤（미역국）,海带、五花肉或者肉糜、蒜、生抽、盐,9,http://www.xiachufang.com/recipe/104219782/
